source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"Alkaloids are produced by a large variety of organisms, including bacteria, fungi, plants, and animals and are part of the group of natural products (also called secondary metabolites).","Alkaloide werden von vielen Organismen wie Bakterien, Pilzen, Pflanzen und Tieren hergestellt und gehören zur Gruppe der Naturprodukte.","藻类是由各种生物,包括细菌、真菌、植物和动物制造的,而藻类是称为次级代谢物的天然产品的一部分。","Algae is made by a variety of organisms, including bacteria, fungi, plants and animals, and is part of a natural product known as secondary metabolites.","Alkaloids are produced by many organisms such as bacteria, fungi, plants and animals and belong to the group of natural products."
"In 1833 parts of Burke County and Buncombe County were combined to form Yancey County, and in 1838 the southern part of what was left of Buncombe County became Henderson County.",1833 wurden Teile der Grafschaften Burke und Buncombe zu Yancey County zusammengeschlossen und der südliche Teil von Buncombe zu Henderson.,"1833年,Burke县和Buncombe县合并组成Yancey县,1838年,Buncombe县的南部成为亨德森县。","In 1833, the districts of Burke and Buncombe merged into Yancey County, and in 1838 the southern part of Buncombe County became Henderson County.","In 1833, parts of the counties of Burke and Buncombe were merged into Yancey County and the southern part of Buncombe became Henderson."
"Current awards are voted upon by the membership of the Golden Raspberry Award Foundation (GRAF), and membership is openly available to the public, as opposed to the Academy Awards.",Die aktuellen Auszeichnungen werden von der Golden Raspberry Award Foundation (GRAF) gewählt. Die Mitgliedschaft ist im Gegensatz zu den Academy Awards öffentlich zugänglich.,"Golden Raspberry奖基金会(GRAF)成员对奖项进行投票表决,与《奥斯卡奖》不同,成员向公众开放。","The members of the Golden Raspberry Prize Foundation (GRAF) voted on the award, unlike the Oscars, and the members were open to the public.",The current awards are selected by the Golden Raspberry Award Foundation (GRAF). Membership is open to the public in contrast to the Academy Awards.
"The show enjoyed a revival on the Game Show Network in 2002, and was renamed Whammy!",Die Show wurde 2002 im Game Show Network in Whammy umbenannt!,节目在游戏显示网络上有了新生活 改名为Whammy!,"The game shows a new life on the Internet, renamed Whammy!",The show was renamed Whammy in 2002 on the Game Show Network!
"The town has a total population of 25,000 and is expected to become a major commercial center in concert with the development of the port of Gwadar located nearly 80 km to the east.","Die Stadt hat eine Gesamtbevölkerung von 25.000. Mit der Entwicklung des Hafens von Gwadar, der sich fast 80km im Osten befindet, wird die Stadt voraussichtlich zu einem großen kommerziellen Zentrum in Konzert.","该镇有25 000人,并准备成为一个主要商业中心,同时发展Gwadar港(东经80公里)。","The town has 25,000 people and is preparing to become a major business centre while developing the port of Gwadar (80 km east).","The city has a total population of 25,000. With the development of the port of Gwadar, which is located almost 80km to the east, the city is expected to become a major commercial center in concert."
"With the Modern Era expansion in the 1967 – 68 season and the creation of the West Division, the Wales Trophy was awarded to the team that finished in first place in the East Division during the regular season.",Mit dem Wachstum der modernen Ära (1967-68 - Gründung der West Division) wurde die Wales Trophy an das Team auf dem 1. Platz in der East Division in der regulären Saison gegeben.,"随着现代时代的增长(1967-1968年 -- -- 组成西部分区),威尔士奖杯在正常季节被授予该队,在东部分区排名第一。","With the growth of the modern era (1967-1968) -- forming the Western Division -- the Welsh Cup was awarded to the team during the normal season, ranking first in the Eastern Division.","With the growth of the modern era (1967-68 - founding of the West Division), the Wales Trophy was given to the team in 1st place in the East Division in the regular season."
"The city declined after the war and recovered its importance only in the nineteenth century, when it grew as an industrial center.","Die Stadt scheiterte nach dem Krieg und gewann ihren Wert erst im 19. Jahrhundert, als sie als Handelszentrum wuchs.","战后,城市拒绝并恢复了价值 直到十九世纪, 当它成为一个工业中心。","After the war, the city rejected and restored value until the nineteenth century, when it became an industrial centre.",The city failed after the war and gained its value only in the 19th century when it grew as a commercial center.
They manifest with either neurological complications or with skin problems (or occasionally both).,Sie werden entweder mit neurologischen Komplikationen oder Hautproblemen oder beides bekannt.,它们表现出神经问题或皮肤问题(或偶尔两者兼有)。,"They exhibit neurological or skin problems (or, occasionally, both).",They become known either with neurological complications or skin problems or both.
"The winner of the series advances to play the winner of the National League Championship Series in baseball's championship, the World Series.","Der Gewinner der Serie spielt den Gewinner der National League Championship Series in der Baseball-Meisterschaft, der World Series.",连续赛的赢家是棒球锦标赛全国联赛冠军,The winner of the consecutive race is the National League League of Baseball Championships.,"The winner of the series plays the winner of the National League Championship Series in the baseball championship, the World Series."
"It grows out of the difficulties in assimilating the new culture, causing difficulty in knowing what is appropriate and what is not.","Es beginnt damit, nicht leicht in die neue Kultur eintreten zu können. Dies schafft oft eine Situation, in der die Person nicht sicher ist, was sie tun soll.","它产生于在遵循新文化方面的困难,很难知道什么是可以接受的。","It arises from difficulties in following the new culture, and it is difficult to know what is acceptable.",It starts with not being able to easily enter the new culture. This often creates a situation in which the person is not sure what to do.
